post_time,median
2018-01-02,3.0
2018-01-03,3.0
2018-01-04,2.0
2018-01-05,4.0
2018-01-06,1.5
2018-01-07,2.5
2018-01-08,2.0
2018-01-09,3.0
2018-01-10,4.0
2018-01-11,5.0
2018-01-12,4.0
2018-01-13,4.0
2018-01-14,4.0
2018-01-15,6.5
2018-01-16,6.0
2018-01-17,3.0
2018-01-18,5.0
2018-01-19,4.0
2018-01-20,2.0
2018-01-21,2.5
2018-01-22,3.0
2018-01-23,3.0
2018-01-24,2.0
2018-01-25,11.0
2018-01-26,2.0
2018-01-27,4.0
2018-01-28,1.5
2018-01-29,2.5
2018-01-30,1.0
2018-01-31,3.0
2018-02-01,2.0
2018-02-02,2.0
2018-02-03,1.0
2018-02-04,5.0
2018-02-05,5.5
2018-02-06,9.0
2018-02-07,5.0
2018-02-08,3.0
2018-02-09,4.0
2018-02-10,4.0
2018-02-11,4.0
2018-02-12,6.0
2018-02-13,3.5
2018-02-14,1.5
2018-02-15,2.0
2018-02-16,2.0
2018-02-17,3.0
2018-02-18,3.0
2018-02-19,2.0
2018-02-20,3.0
2018-02-21,1.0
2018-02-22,1.5
2018-02-23,2.0
2018-02-24,1.0
2018-02-25,1.0
2018-02-26,2.0
2018-02-27,1.0
2018-02-28,2.0
2018-03-01,0.0
2018-03-02,1.0
2018-03-03,2.0
2018-03-04,2.0
2018-03-05,5.5
2018-03-06,3.0
2018-03-07,4.0
2018-03-08,6.0
2018-03-09,4.0
2018-03-10,2.0
2018-03-11,3.0
2018-03-12,2.0
2018-03-13,3.0
2018-03-14,2.0
2018-03-15,2.0
2018-03-16,2.5
2018-03-17,1.0
2018-03-18,2.0
2018-03-19,2.0
2018-03-20,2.0
2018-03-21,2.0
2018-03-22,2.0
2018-03-23,2.0
2018-03-24,2.0
2018-03-25,3.0
2018-03-26,1.0
2018-03-27,2.0
2018-03-28,3.0
2018-03-29,2.0
2018-03-30,2.0
2018-03-31,1.0
2018-04-01,1.0
2018-04-02,2.0
2018-04-03,2.0
2018-04-04,1.0
2018-04-05,1.5
2018-04-06,1.0
2018-04-07,1.0
2018-04-08,2.0
2018-04-09,2.0
2018-04-10,2.0
2018-04-11,1.0
2018-04-12,2.0
2018-04-13,1.0
2018-04-14,1.0
2018-04-15,1.5
2018-04-16,2.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-21,1.0
2018-04-22,2.0
2018-04-23,1.0
2018-04-24,2.0
2018-04-25,1.0
2018-04-26,2.0
2018-04-27,2.0
2018-04-28,2.5
2018-04-29,2.0
2018-04-30,2.0
2018-05-01,2.5
2018-05-02,2.0
2018-05-03,2.0
2018-05-04,4.0
2018-05-05,1.0
2018-05-06,2.0
2018-05-07,1.0
2018-05-08,3.0
2018-05-09,5.0
2018-05-10,2.0
2018-05-11,1.5
2018-05-12,4.0
2018-05-13,3.5
2018-05-14,3.0
2018-05-15,3.0
2018-05-16,2.0
2018-05-17,3.0
2018-05-18,2.5
2018-05-19,6.0
